County,Precinct,Date,Party,Method,State,Votes
1,10007,11/03/2020,IND,Early,OK,10
1,10007,11/03/2020,IND,In Person,OK,25
1,10007,11/03/2020,LIB,In Person,OK,1
1,10007,11/03/2020,REP,Absentee,OK,18
1,10007,11/03/2020,REP,Early,OK,35
1,10007,11/03/2020,REP,In Person,OK,221
1,10007,11/08/2016,DEM,Absentee,OK,11
1,10007,11/08/2016,DEM,Early,OK,26
1,10007,11/08/2016,DEM,In Person,OK,210
1,10007,11/08/2016,IND,Absentee,OK,1
1,10007,11/08/2016,IND,Early,OK,6
1,10007,11/08/2016,IND,In Person,OK,24
1,10007,11/08/2016,LIB,In Person,OK,1
1,10007,11/08/2016,REP,Absentee,OK,12
1,10007,11/08/2016,REP,Early,OK,41
1,10007,11/08/2016,REP,In Person,OK,169
1,10008,11/03/2020,DEM,Absentee,OK,8
1,10008,11/03/2020,DEM,Early,OK,10
1,10008,11/03/2020,DEM,In Person,OK,137
1,10008,11/03/2020,IND,Early,OK,5
1,10008,11/03/2020,IND,In Person,OK,18
1,10008,11/03/2020,LIB,Early,OK,1
1,10008,11/03/2020,REP,Absentee,OK,9
1,10008,11/03/2020,REP,Early,OK,24
1,10008,11/03/2020,REP,In Person,OK,191
1,10008,11/08/2016,DEM,Absentee,OK,5
1,10008,11/08/2016,DEM,Early,OK,16
1,10008,11/08/2016,DEM,In Person,OK,133
1,10008,11/08/2016,IND,Early,OK,1
1,10008,11/08/2016,IND,In Person,OK,17
1,10008,11/08/2016,REP,Absentee,OK,1
1,10008,11/08/2016,REP,Early,OK,16
1,10008,11/08/2016,REP,In Person,OK,167
1,10010,11/03/2020,DEM,Absentee,OK,3
1,10010,11/03/2020,DEM,Early,OK,5
1,10010,11/03/2020,DEM,In Person,OK,53
1,10010,11/03/2020,IND,Early,OK,2
1,10010,11/03/2020,IND,In Person,OK,6
1,10010,11/03/2020,LIB,Early,OK,1
1,10010,11/03/2020,REP,Early,OK,9
1,10010,11/03/2020,REP,In Person,OK,71
1,10010,11/08/2016,DEM,Absentee,OK,2
1,10010,11/08/2016,DEM,Early,OK,1
1,10010,11/08/2016,DEM,In Person,OK,55
1,10010,11/08/2016,IND,Early,OK,1
1,10010,11/08/2016,IND,In Person,OK,4
1,10010,11/08/2016,REP,Absentee,OK,1
1,10010,11/08/2016,REP,Early,OK,3
1,10010,11/08/2016,REP,In Person,OK,47
1,10011,11/03/2020,DEM,Absentee,OK,7
1,10011,11/03/2020,DEM,Early,OK,10
1,10011,11/03/2020,DEM,In Person,OK,78
1,10011,11/03/2020,IND,In Person,OK,17
1,10011,11/03/2020,LIB,Absentee,OK,1
1,10011,11/03/2020,LIB,In Person,OK,1
1,10011,11/03/2020,REP,Absentee,OK,4
1,10011,11/03/2020,REP,Early,OK,16
1,10011,11/03/2020,REP,In Person,OK,90
1,10011,11/08/2016,DEM,Absentee,OK,3
1,10011,11/08/2016,DEM,Early,OK,6
1,10011,11/08/2016,DEM,In Person,OK,77
1,10011,11/08/2016,IND,Absentee,OK,1
1,10011,11/08/2016,IND,Early,OK,1
1,10011,11/08/2016,IND,In Person,OK,15
1,10011,11/08/2016,REP,Absentee,OK,3
1,10011,11/08/2016,REP,Early,OK,9
1,10011,11/08/2016,REP,In Person,OK,66
1,10012,11/03/2020,DEM,Absentee,OK,8
1,10012,11/03/2020,DEM,Early,OK,11
1,10012,11/03/2020,DEM,In Person,OK,119
1,10012,11/03/2020,IND,Early,OK,6
1,10012,11/03/2020,IND,In Person,OK,19
1,10012,11/03/2020,REP,Absentee,OK,5
1,10012,11/03/2020,REP,Early,OK,33
1,10012,11/03/2020,REP,In Person,OK,238
1,10012,11/08/2016,DEM,Absentee,OK,10
1,10012,11/08/2016,DEM,Early,OK,5
1,10012,11/08/2016,DEM,In Person,OK,127
1,10012,11/08/2016,IND,In Person,OK,14
1,10012,11/08/2016,REP,Absentee,OK,2
1,10012,11/08/2016,REP,Early,OK,24
1,10012,11/08/2016,REP,In Person,OK,182
1,10013,11/03/2020,DEM,Absentee,OK,9
1,10013,11/03/2020,DEM,Early,OK,22
1,10013,11/03/2020,DEM,In Person,OK,134
1,10013,11/03/2020,IND,Absentee,OK,3
1,10013,11/03/2020,IND,In Person,OK,13
1,10013,11/03/2020,LIB,In Person,OK,2
1,10013,11/03/2020,REP,Absentee,OK,8
1,10013,11/03/2020,REP,Early,OK,17
1,10013,11/03/2020,REP,In Person,OK,142
1,10013,11/08/2016,DEM,Absentee,OK,4
1,10013,11/08/2016,DEM,Early,OK,15
1,10013,11/08/2016,DEM,In Person,OK,134
1,10013,11/08/2016,IND,In Person,OK,5
1,10013,11/08/2016,LIB,In Person,OK,1
1,10013,11/08/2016,REP,Absentee,OK,2
1,10013,11/08/2016,REP,Early,OK,15
1,10013,11/08/2016,REP,In Person,OK,118
1,10014,11/03/2020,DEM,Absentee,OK,18
1,10014,11/03/2020,DEM,Early,OK,49
1,10014,11/03/2020,DEM,In Person,OK,187
1,10014,11/03/2020,IND,Absentee,OK,2
1,10014,11/03/2020,IND,Early,OK,14
1,10014,11/03/2020,IND,In Person,OK,40
1,10014,11/03/2020,LIB,In Person,OK,2
1,10014,11/03/2020,REP,Absentee,OK,13
1,10014,11/03/2020,REP,Early,OK,53
1,10014,11/03/2020,REP,In Person,OK,179
1,10014,11/08/2016,DEM,Absentee,OK,7
1,10014,11/08/2016,DEM,Early,OK,32
1,10014,11/08/2016,DEM,In Person,OK,216
1,10014,11/08/2016,IND,Absentee,OK,2
1,10014,11/08/2016,IND,Early,OK,3
1,10014,11/08/2016,IND,In Person,OK,25
1,10014,11/08/2016,LIB,Absentee,OK,1
1,10014,11/08/2016,REP,Absentee,OK,2
1,10014,11/08/2016,REP,Early,OK,27
1,10014,11/08/2016,REP,In Person,OK,163
1,10016,11/03/2020,DEM,Absentee,OK,8
1,10016,11/03/2020,DEM,Early,OK,12
1,10016,11/03/2020,DEM,In Person,OK,80
1,10016,11/03/2020,IND,Absentee,OK,6
1,10016,11/03/2020,IND,Early,OK,2
1,10016,11/03/2020,IND,In Person,OK,39
1,10016,11/03/2020,LIB,In Person,OK,2
1,10016,11/03/2020,REP,Absentee,OK,18
1,10016,11/03/2020,REP,Early,OK,19
1,10016,11/03/2020,REP,In Person,OK,244
1,10016,11/08/2016,DEM,Absentee,OK,1
1,10016,11/08/2016,DEM,Early,OK,2
1,10016,11/08/2016,DEM,In Person,OK,91
1,10016,11/08/2016,IND,Absentee,OK,1
1,10016,11/08/2016,IND,In Person,OK,26
1,10016,11/08/2016,LIB,In Person,OK,1
1,10016,11/08/2016,REP,Absentee,OK,9
1,10016,11/08/2016,REP,Early,OK,9
1,10016,11/08/2016,REP,In Person,OK,199
1,10017,11/03/2020,DEM,Absentee,OK,25
1,10017,11/03/2020,DEM,Early,OK,12
1,10017,11/03/2020,DEM,In Person,OK,180
1,10017,11/03/2020,IND,Absentee,OK,7
1,10017,11/03/2020,IND,Early,OK,10
1,10017,11/03/2020,IND,In Person,OK,63
1,10017,11/03/2020,LIB,In Person,OK,4
1,10017,11/03/2020,REP,Absentee,OK,12
1,10017,11/03/2020,REP,Early,OK,38
1,10017,11/03/2020,REP,In Person,OK,344
1,10017,11/08/2016,DEM,Absentee,OK,16
1,10017,11/08/2016,DEM,Early,OK,13
1,10017,11/08/2016,DEM,In Person,OK,220
1,10017,11/08/2016,IND,Absentee,OK,6
1,10017,11/08/2016,IND,Early,OK,4
1,10017,11/08/2016,IND,In Person,OK,44
1,10017,11/08/2016,LIB,In Person,OK,1
1,10017,11/08/2016,REP,Absentee,OK,12
1,10017,11/08/2016,REP,Early,OK,9
1,10017,11/08/2016,REP,In Person,OK,280
1,10018,11/03/2020,DEM,Absentee,OK,24
1,10018,11/03/2020,DEM,Early,OK,22
1,10018,11/03/2020,DEM,In Person,OK,201
1,10018,11/03/2020,IND,Absentee,OK,3
1,10018,11/03/2020,IND,Early,OK,9
1,10018,11/03/2020,IND,In Person,OK,57
