NC_House_dist2020,pct_dist_coverage2020,DEM,REP,DEM_Absentee,REP_Absentee,DEM_Early,REP_Early,DEM_In Person,REP_In Person,DEM_Absentee_county,DEM_Early_county,REP_Absentee_county,REP_Early_county,DEM_uniform,REP_uniform,DEM_by_area,REP_by_area,DEM_by_vap,REP_by_vap,DEM_by_cvap,REP_by_cvap,DEM_by_totpop,REP_by_totpop,DEM_by_day_of,REP_by_day_of,DEM_by_voterfile_tot_votes,REP_by_voterfile_tot_votes,DEM_by_voterfile_mode,REP_by_voterfile_mode,DEM_by_voterfile_party,REP_by_voterfile_party,DEM_by_voterfile_mode_party,REP_by_voterfile_mode_party,DEM_by_voterfile_minus_day_of,REP_by_voterfile_minus_day_of,DEM_by_scaled_voterfile_minus_day_of,REP_by_scaled_voterfile_minus_day_of,DEM_Absentee_uniform,DEM_Absentee_by_area,DEM_Absentee_by_vap,DEM_Absentee_by_cvap,DEM_Absentee_by_totpop,DEM_Absentee_by_day_of,DEM_Absentee_by_voterfile_tot_votes,DEM_Absentee_by_voterfile_mode,DEM_Absentee_by_voterfile_party,DEM_Absentee_by_voterfile_mode_party,DEM_Absentee_by_voterfile_minus_day_of,DEM_Absentee_by_scaled_voterfile_minus_day_of,REP_Absentee_uniform,REP_Absentee_by_area,REP_Absentee_by_vap,REP_Absentee_by_cvap,REP_Absentee_by_totpop,REP_Absentee_by_day_of,REP_Absentee_by_voterfile_tot_votes,REP_Absentee_by_voterfile_mode,REP_Absentee_by_voterfile_party,REP_Absentee_by_voterfile_mode_party,REP_Absentee_by_voterfile_minus_day_of,REP_Absentee_by_scaled_voterfile_minus_day_of,DEM_Early_uniform,DEM_Early_by_area,DEM_Early_by_vap,DEM_Early_by_cvap,DEM_Early_by_totpop,DEM_Early_by_day_of,DEM_Early_by_voterfile_tot_votes,DEM_Early_by_voterfile_mode,DEM_Early_by_voterfile_party,DEM_Early_by_voterfile_mode_party,DEM_Early_by_voterfile_minus_day_of,DEM_Early_by_scaled_voterfile_minus_day_of,REP_Early_uniform,REP_Early_by_area,REP_Early_by_vap,REP_Early_by_cvap,REP_Early_by_totpop,REP_Early_by_day_of,REP_Early_by_voterfile_tot_votes,REP_Early_by_voterfile_mode,REP_Early_by_voterfile_party,REP_Early_by_voterfile_mode_party,REP_Early_by_voterfile_minus_day_of,REP_Early_by_scaled_voterfile_minus_day_of
1.0,1.0,17389.0,21293.0,1873.0,993.0,10045.0,13358.0,5471.0,6942.0,15133.0,90416.0,6584.0,94214.0,17389.000000000007,21292.999999999993,17389.0,21293.0,17389.0,21293.000000000004,17389.0,21293.000000000004,17389.0,21293.0,17389.0,21292.999999999996,17389.000000000004,21293.0,17389.0,21293.0,17389.0,21292.999999999996,17389.0,21293.0,17389.000000000004,21293.000000000004,17389.0,21292.999999999996,1873.0000000000002,1872.9999999999998,1873.0000000000002,1873.0,1873.0000000000002,1873.0,1873.0,1872.9999999999995,1873.0000000000002,1873.0000000000002,1872.9999999999998,1873.0000000000002,992.9999999999997,993.0,993.0000000000001,993.0000000000001,993.0,993.0000000000002,992.9999999999999,993.0000000000002,992.9999999999999,993.0000000000003,993.0000000000001,992.9999999999999,10045.000000000005,10045.000000000004,10045.0,10044.999999999996,10044.999999999996,10044.999999999996,10045.0,10044.999999999998,10045.0,10044.999999999998,10045.0,10045.0,13358.000000000007,13358.000000000004,13358.000000000002,13358.0,13358.0,13357.999999999996,13357.999999999998,13358.000000000002,13357.999999999998,13358.0,13358.0,13358.000000000004
2.0,0.99973124300112,17716.0,26219.0,3548.0,2065.0,12209.0,19045.0,1959.0,5109.0,39288.0,145365.0,21871.0,199661.0,16240.133333333342,22594.60000000001,18674.741778992397,25173.18559965577,18671.991863984716,25170.27306098791,18598.848789016025,25092.80447249062,18636.905818145402,25133.112106949724,16313.042021924482,25051.446356275304,18586.7729468599,25080.014492753624,18743.399313560723,25216.85830709873,17184.148542641236,26530.980100614866,17356.375398502998,26738.28660841587,18728.936924561927,25230.585721710722,18725.63613132065,25227.08972713526,3011.7333333333345,3555.7935998104376,3555.179078204495,3538.8338457999293,3547.338423793311,3028.0261875761266,3536.1352657004823,3614.640963855422,3222.691759625764,3418.2493403693925,3567.9045515295516,3567.1669255455317,1685.5333333333326,1979.7065498109077,1979.3742781701478,1970.5364161044988,1975.1348387742844,1965.8181511470984,1969.07729468599,2011.525301204819,2134.6080491894913,2131.342289719626,1986.2549376299378,1985.856103490327,11269.400000000005,13159.948179181956,13157.81278578022,13101.014943216102,13130.56739435209,11326.015834348356,13091.63768115942,13169.758349705304,12002.456783015472,11979.126058133605,13202.032373032373,13199.469205775118,15800.06666666667,18084.479049844864,18081.898782817767,18013.268056386125,18048.977268175444,17976.62820512821,18001.93719806763,18096.333005893914,19287.372051425373,19497.94431869624,18135.330784080783,18132.233623644934
3.0,1.0,16965.0,22576.0,4994.0,2544.0,10106.0,16135.0,1865.0,3897.0,83020.0,179368.0,43680.0,313068.0,14359.66666666667,20885.000000000007,10304.338152345545,15371.293821260759,16139.823330558293,23305.336789525467,16406.56846005628,23668.008830389193,16227.835058421037,23424.999304166304,16392.77639235245,21789.49621621622,16088.204305519032,23235.154525303373,16378.334309173979,23201.521963960473,16034.320393120395,22795.968349016253,16205.156591638995,22965.949014043457,16201.38214436565,23389.033390391924,16198.737686411174,23385.43793219131,3953.3333333333326,2670.220640455078,4516.577865233735,4600.976468260256,4544.424922443536,4596.612635078969,4500.24551978059,4943.158008191421,4483.196560196559,4929.465020576132,4536.055176399973,4535.2184655009205,2079.999999999999,1404.9052948094172,2376.344509195489,2420.7498450205735,2390.9959119770374,2190.7459459459465,2367.751437051508,2600.7846518646265,2313.977758768178,2594.325621999127,2386.592268190205,2386.1520425569765,8541.333333333336,5769.1175118904675,9758.245465324553,9940.591991796022,9818.410135977501,9931.163757273483,9722.958785738438,9570.176300982559,9686.123832923833,9410.691571062862,9800.326967965679,9798.519220910252,14908.000000000002,10069.388526451341,17031.992280329978,17350.258985368615,17137.003392189265,15701.75027027027,16970.40308825187,16703.737312095847,16584.990590248075,16474.62339204433,17105.441122201722,17102.285889634328
4.0,1.0,11743.0,21935.0,1745.0,1259.0,8131.0,14731.0,1867.0,5945.0,49194.0,199110.0,30358.0,326280.0,12834.833333333334,21614.666666666668,13512.341498186937,22765.02947227214,11599.22376374764,19516.685616639443,11748.89980990228,19770.825367742797,11720.741938024175,19723.01521552039,11620.649644073043,21649.134916039373,12538.910894371838,21112.210482690025,12452.687589082121,21206.064814692545,12062.21337371578,21756.163060703082,12087.158091322479,21817.108732359775,12540.580183000242,21115.044821299576,12540.539200063044,21114.975235058315,2148.6666666666674,2334.510361042957,1809.7331170346506,1850.7899644942306,1843.0661270453766,1815.6103373568556,2067.49374188379,1870.692277461191,1936.733357087713,1825.1348989623152,2067.9516356506488,2067.9403938371174,1319.4999999999998,1447.915738211139,1085.3010290497664,1113.6708125543323,1108.3337345805749,1323.3477127967574,1263.4104937418838,1127.4230693652976,1335.2953332686523,1195.0497581202487,1263.726892779746,1263.7191248229785,8819.166666666672,9310.831137143976,7922.490646712988,8031.109845408047,8010.675810978799,7938.039306716188,8604.417152488051,8714.995311620929,8258.480016628066,8395.023192360164,8605.628547349592,8605.598806225928,14350.166666666662,15372.113734061002,12486.384587589677,12712.154555188463,12669.681480939817,14380.787203242618,13903.79998894814,14133.641745327248,14475.86772743443,14677.058974239531,13906.317928519833,13906.25611023534
5.0,0.9999999999999998,19487.0,16620.0,2105.0,978.0,8770.0,8654.0,8612.0,6988.0,17901.0,73473.0,8136.0,71967.0,19486.999999999993,16620.000000000004,19487.0,16620.000000000004,19487.0,16620.0,19487.0,16620.0,19486.999999999996,16619.999999999996,19487.0,16620.0,19487.0,16620.0,19486.999999999996,16620.0,19487.0,16620.0,19487.0,16620.0,19487.0,16620.0,19486.999999999996,16620.0,2104.9999999999995,2105.0000000000005,2105.0,2105.0,2105.0,2105.0,2105.0,2105.0,2105.0,2105.0,2105.0,2105.0000000000005,978.0,978.0000000000002,978.0,978.0000000000002,977.9999999999999,977.9999999999999,978.0,978.0,978.0,978.0,978.0000000000001,978.0000000000001,8769.999999999998,8770.0,8769.999999999998,8770.0,8770.0,8770.000000000002,8770.0,8770.000000000002,8770.0,8770.0,8770.0,8770.000000000002,8653.999999999998,8654.0,8654.000000000002,8654.000000000002,8654.0,8654.0,8654.0,8654.0,8654.0,8654.0,8654.0,8654.0
6.0,1.0000000000000002,17890.0,31863.0,4293.0,2279.0,10659.0,19039.0,2938.0,10545.0,59097.0,143982.0,30410.0,249699.0,17890.0,31863.000000000004,17890.0,31862.999999999996,17890.000000000004,31862.999999999996,17889.999999999996,31862.999999999996,17890.0,31862.999999999993,17890.0,31862.999999999985,17890.0,31863.000000000007,17889.999999999996,31863.0,17889.999999999996,31863.0,17890.000000000004,31863.0,17890.000000000007,31862.999999999993,17890.000000000004,31863.000000000004,4292.999999999997,4293.000000000001,4293.0,4293.000000000001,4293.000000000001,4293.0,4293.0,4292.999999999999,4293.000000000001,4293.000000000001,4293.0,4292.999999999999,2279.0000000000014,2279.0,2279.0000000000005,2278.9999999999995,2279.0,2279.000000000001,2279.0,2279.0,2279.0,2279.0,2279.0000000000005,2278.9999999999995,10658.999999999989,10659.0,10658.999999999998,10659.000000000002,10659.0,10659.000000000002,10658.999999999998,10658.999999999996,10659.0,10659.000000000002,10659.0,10659.0,19039.000000000007,19039.000000000004,19038.999999999993,19039.0,19039.0,19039.000000000004,19038.999999999996,19039.000000000004,19038.999999999996,19039.0,19038.999999999996,19038.99999999999
7.0,0.9991484158350982,18295.0,26564.0,3463.0,1824.0,12652.0,18262.0,2180.0,6478.0,70700.0,272172.0,34620.0,332864.0,19989.33333333333,25762.333333333325,21858.139530595847,27468.75850430932,19641.845140936835,25445.038474727393,19518.659070195667,25332.556071718307,19731.86611018364,25527.237500000003,18678.113642602253,27838.961728621132,19759.246800312816,25552.239075285634,19499.802555242284,25363.723322601167,18515.390474616877,26674.4883485309,18442.005342118217,26422.858457748247,19525.45330581387,25338.759954546505,19531.061920119868,25343.881234987504,3717.3333333333326,4034.7220472514823,3658.3176736849323,3637.3963664769194,3673.6063856427377,3494.642327751853,3678.2565853472443,3545.0502734168276,3467.0062373497462,3472.9909119398308,3638.550265531876,3639.5028045827685,1825.9999999999995,1972.796469584107,1798.7044784308343,1789.0280976947101,1805.77570951586,2004.643471891595,1807.926488259866,1746.3168107249958,1904.468800286072,1803.4239592183515,1789.5617912386078,1790.0023531227587,14092.000000000004,15643.417483344363,13803.527467251903,13701.26270371875,13878.259724540902,13003.4713148504,13900.990214965572,13774.75228182546,12868.384237267132,12789.014430178388,13706.903040281999,13711.5591155371,17458.33333333333,19017.962034725213,17168.333996296547,17065.527974023593,17243.46179048414,19356.318256729537,17266.31258702577,17139.406511876172,18292.019548244833,18141.434498529892,17071.1981633079,17075.87888186474
8.0,0.9979164113249172,24221.0,15786.0,4061.0,1160.0,17075.0,11404.0,3085.0,3222.0,192717.0,751410.0,63434.0,646990.0,22352.897959183683,17720.44897959184,24436.288609214644,19288.130784219393,21097.89589948916,16776.10189148143,21373.12672992155,16983.203888860065,21567.545344273993,17129.497395647522,23497.01885880078,15520.706870983688,22125.19618776671,17549.111009957327,22308.639237854615,17687.629664975106,24828.915027906736,15426.916511759475,24878.698070654653,15507.084863037962,22304.194720059124,17683.801420575073,22299.946063961786,17680.60444891841,3933.0,4358.265664367207,3676.8265911914946,3733.007232088789,3772.692329646807,4166.540135396518,3886.521081081081,3923.056043569922,4438.409316154608,4133.584775086506,3923.0586021431805,3922.1913583750106,1294.5714285714287,1434.5502688059141,1210.2503566662062,1228.7425642798519,1241.8051611368771,1098.1557093425604,1279.272603129445,1291.298313422347,1089.7811363452677,1133.0010193679918,1291.2991555926592,1291.0136969087337,15334.89795918368,16993.022944847435,14336.069308297665,14555.119497832762,14709.85301462718,16245.478723404256,15153.675106685634,15300.583194284698,17305.50571175213,17660.113295568142,15296.136117915943,15292.754705586778,13203.877551020414,14631.580515413476,12343.851534815221,12532.461324580214,12665.692234510641,11200.55116164113,13047.838406827881,13174.331351552757,11115.13537541421,11152.08384366997,13170.502264982413,13167.590752009673
9.0,0.9853645900790052,19103.0,18233.0,3684.0,1293.0,13001.0,13339.0,2418.0,3601.0,167580.0,653400.0,55160.0,562600.0,19172.693877551028,16208.346938775516,14921.829851571598,13009.713889628092,21165.769156426893,17708.069446362006,21236.744534291985,17761.47604509759,20630.351248662148,17305.185372814838,18416.788201160543,17346.389026198714,20214.697604551922,16992.419903271693,20343.69528309234,17040.661356423978,18004.886208335512,18415.90632829548,18187.099225287075,18587.49574710957,20321.496434876623,17072.782452202715,20318.96148950117,17070.874990565233,3420.0,2552.305545234194,3826.8303189286203,3841.3179481310754,3717.5397966464507,3265.703094777564,3632.6957837837845,3750.824314827828,3181.6248761149654,3550.9619377162635,3654.495764277601,3653.978326403331,1125.714285714286,840.1072554906202,1259.6250172580421,1264.393710579485,1223.651361636342,1227.3304498269897,1195.7244267425322,1234.6071679550248,1322.828012608098,1339.640163098879,1202.9000260028195,1202.7297081060256,13334.693877551024,9951.524306337404,14920.938837498274,14977.426586160906,14494.811452015698,12733.085106382981,14164.001820768135,14174.870968264513,12405.26133222054,12218.137287570811,14249.000670599022,14246.983163097842,11481.632653061228,8568.606634137472,12847.444429103962,12896.0823345181,12480.534011178499,12518.058576371726,12195.69547652916,12205.054188468954,13492.078315687384,13646.85558401069,12268.882426199894,12267.145282459205
10.0,0.9920443763228962,12893.0,27347.0,2348.0,1598.0,8831.0,19666.0,1714.0,6083.0,54489.0,283394.0,28933.0,392247.0,15287.170634920629,22447.69047619048,20031.19048020291,28439.37242027471,16153.792266618364,23353.452725921077,16317.769406155045,23514.21650500585,16162.645839974382,23355.15320324016,12829.759991031313,30054.128420582365,16875.942490659265,24123.143891739568,16548.397263493844,23825.816427452082,13547.008652117112,27989.588805664323,13395.096846382381,27616.922379590105,16564.09010317034,23657.662956388052,16571.480112010526,23668.69395935422,2352.3214285714284,3114.526596052284,2620.4244390434446,2678.40242835961,2628.3193239629536,1961.7930367504837,2833.6444560124937,2609.1446894365185,2199.7316941367203,2244.35654827969,2832.425089559877,2832.453686514818,1194.0357142857142,1612.2999338464579,1341.1586953691244,1372.9744314565296,1345.4910562875034,1733.6522135179453,1458.1643361036815,1334.968871595331,1779.3084279159625,1651.6278218425873,1457.495202149437,1457.5108948835596,11220.849206349205,15202.663884150621,11819.367827574917,11925.366977795435,11820.326516011433,9153.96695428083,12328.29803464677,12225.252574057324,9633.276957980393,9436.740298102692,12017.665013610464,12025.026425495707,15170.654761904758,20744.072486428257,15929.294030551953,16058.242073549318,15926.66214695266,22237.476207064417,16581.979555635884,16407.847555856748,20127.280377748364,19882.294557747526,16117.167754238613,16128.183064470664
